timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T17:19:45.099146+00:00,1,0.18228318,0.00298844,39.641100,39.641100
2026-03-21T17:19:49.370622+00:00,2,0.16706304,0.0028953,4.271481,43.912581
2026-03-21T17:19:53.557814+00:00,3,0.12870449,0.00215115,4.187193,48.099774
2026-03-21T17:19:57.563349+00:00,4,0.14175345,0.00253826,4.005536,52.105309
2026-03-21T17:20:01.692102+00:00,5,0.14801244,0.00292503,4.128752,56.234061
2026-03-21T17:20:05.723532+00:00,6,0.16656494,0.00285697,4.031430,60.265491
2026-03-21T17:20:09.730339+00:00,7,0.13982882,0.00255771,4.006808,64.272299
2026-03-21T17:20:13.755236+00:00,8,0.15662114,0.00266645,4.024897,68.297195
2026-03-21T17:20:17.828046+00:00,9,0.12583169,0.002132,4.072808,72.370003
2026-03-21T17:20:21.847112+00:00,10,0.20246828,0.00351714,4.019068,76.389072
2026-03-21T17:20:25.831117+00:00,11,0.13666847,0.00239481,3.984006,80.373077
2026-03-21T17:20:29.785106+00:00,12,0.13397491,0.00246312,3.953988,84.327065
2026-03-21T17:20:33.690157+00:00,13,0.20435339,0.0031371,3.905052,88.232117
2026-03-21T17:20:37.634319+00:00,14,0.14370745,0.00244489,3.944162,92.176279
2026-03-21T17:20:41.624519+00:00,15,0.11312123,0.00199272,3.990199,96.166478
2026-03-21T17:20:45.545669+00:00,16,0.10779532,0.00171724,3.921150,100.087629
2026-03-21T17:20:49.520444+00:00,17,0.17466572,0.00288574,3.974773,104.062402
2026-03-21T17:20:53.446015+00:00,18,0.16320501,0.00243329,3.925573,107.987975
2026-03-21T17:20:55.465812+00:00,19,0.14650534,0.00149944,2.019797,110.007772
2026-03-21T17:21:00.075187+00:00,20,0.19389826,0.00308952,4.609372,114.617144
2026-03-21T17:21:04.063400+00:00,21,0.22388333,0.00329893,3.988216,118.605360
2026-03-21T17:21:08.075751+00:00,22,0.16070533,0.00228888,4.012351,122.617711
2026-03-21T17:21:12.071545+00:00,23,0.17122892,0.0025471,3.995794,126.613505
2026-03-21T17:21:16.047819+00:00,24,0.18253201,0.00294538,3.976274,130.589779
2026-03-21T17:21:20.029274+00:00,25,0.14316785,0.00242628,3.981455,134.571234
2026-03-21T17:21:24.255242+00:00,26,0.14445323,0.00220902,4.225968,138.797203
2026-03-21T17:21:28.195197+00:00,27,0.14011496,0.00196609,3.939954,142.737157
2026-03-21T17:21:32.151830+00:00,28,0.14244916,0.00207771,3.956633,146.693790
