timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T17:42:11.779034+00:00,1,0.29177833,0.0499382,30.342036,30.342036
2026-03-21T17:42:17.079446+00:00,2,0.31211513,0.032417,5.300414,35.642450
2026-03-21T17:42:22.445289+00:00,3,0.32455152,0.0501065,5.365846,41.008295
2026-03-21T17:42:27.757822+00:00,4,0.26037779,0.0523904,5.312532,46.320827
2026-03-21T17:42:33.065391+00:00,5,0.37831044,0.122063,5.307568,51.628395
2026-03-21T17:42:38.359433+00:00,6,0.28207985,0.0931051,5.294044,56.922439
2026-03-21T17:42:43.655117+00:00,7,0.38871789,0.0795226,5.295684,62.218123
2026-03-21T17:42:48.945534+00:00,8,0.33437461,0.0532867,5.290416,67.508539
2026-03-21T17:42:54.226613+00:00,9,0.35104546,0.0627298,5.281079,72.789618
2026-03-21T17:42:59.521033+00:00,10,0.33460778,0.0493367,5.294420,78.084038
2026-03-21T17:43:04.843501+00:00,11,0.30347097,0.0744163,5.322468,83.406506
2026-03-21T17:43:10.129941+00:00,12,0.29024771,0.0563125,5.286440,88.692946
2026-03-21T17:43:15.428606+00:00,13,0.28461647,0.0918729,5.298666,93.991612
2026-03-21T17:43:20.734151+00:00,14,0.32521054,0.0601198,5.305544,99.297156
2026-03-21T17:43:26.019750+00:00,15,0.27567378,0.0731037,5.285599,104.582755
2026-03-21T17:43:31.296225+00:00,16,0.43712673,0.0370017,5.276475,109.859230
2026-03-21T17:43:36.591464+00:00,17,0.31751281,0.082316,5.295240,115.154470
2026-03-21T17:43:41.868572+00:00,18,0.31391636,0.0218401,5.277107,120.431577
2026-03-21T17:43:44.541610+00:00,19,0.33520234,0.0544033,2.673038,123.104615
2026-03-21T17:43:50.288831+00:00,20,0.33733585,0.0583838,5.747222,128.851837
2026-03-21T17:43:55.602529+00:00,21,0.29105613,0.0757444,5.313697,134.165535
2026-03-21T17:44:00.895544+00:00,22,0.27137351,0.0322798,5.293015,139.458549
2026-03-21T17:44:06.193818+00:00,23,0.28716528,0.060372,5.298274,144.756823
2026-03-21T17:44:11.491384+00:00,24,0.31195343,0.0609153,5.297566,150.054390
2026-03-21T17:44:16.777849+00:00,25,0.27304882,0.0423451,5.286465,155.340854
2026-03-21T17:44:22.069922+00:00,26,0.2557559,0.0553813,5.292073,160.632927
2026-03-21T17:44:27.370359+00:00,27,0.30761129,0.0712668,5.300437,165.933364
2026-03-21T17:44:32.660026+00:00,28,0.33171898,0.0906649,5.289667,171.223031
2026-03-21T17:44:37.964137+00:00,29,0.40159124,0.0269281,5.304111,176.527143
2026-03-21T17:44:43.263720+00:00,30,0.27098101,0.0459487,5.299582,181.826725
2026-03-21T17:44:48.558832+00:00,31,0.2863149,0.0326891,5.295113,187.121837
2026-03-21T17:44:53.846648+00:00,32,0.3783356,0.119718,5.287817,192.409654
2026-03-21T17:44:59.169496+00:00,33,0.29936606,0.0372227,5.322847,197.732501
2026-03-21T17:45:04.455691+00:00,34,0.28656071,0.0709559,5.286195,203.018696
