timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T17:29:43.803811+00:00,1,0.2907843,0.0288942,30.422573,30.422573
2026-03-21T17:29:49.190575+00:00,2,0.31142569,0.0218437,5.386764,35.809338
2026-03-21T17:29:54.574070+00:00,3,0.30822745,0.0333105,5.383497,41.192835
2026-03-21T17:29:59.965311+00:00,4,0.24886574,0.056134,5.391241,46.584075
2026-03-21T17:30:05.329260+00:00,5,0.38122493,0.0681706,5.363950,51.948025
2026-03-21T17:30:10.694814+00:00,6,0.29202625,0.0454722,5.365554,57.313578
2026-03-21T17:30:16.067931+00:00,7,0.39035529,0.0419474,5.373117,62.686695
2026-03-21T17:30:21.446315+00:00,8,0.35182339,0.035388,5.378384,68.065079
2026-03-21T17:30:26.819769+00:00,9,0.33539781,0.0470262,5.373454,73.438533
2026-03-21T17:30:29.567538+00:00,10,0.33030975,0.0283218,2.747769,76.186303
2026-03-21T17:30:35.411689+00:00,11,0.31670654,0.0350534,5.844150,82.030453
2026-03-21T17:30:40.790449+00:00,12,0.28202057,0.0384345,5.378760,87.409214
2026-03-21T17:30:46.158497+00:00,13,0.26734489,0.0523072,5.368047,92.777261
2026-03-21T17:30:51.559599+00:00,14,0.36588421,0.0504402,5.401103,98.178363
2026-03-21T17:30:56.927659+00:00,15,0.29249409,0.0455473,5.368060,103.546423
2026-03-21T17:31:02.292115+00:00,16,0.39817739,0.0501636,5.364457,108.910880
2026-03-21T17:31:07.651256+00:00,17,0.35068074,0.0516866,5.359140,114.270020
2026-03-21T17:31:13.018253+00:00,18,0.33927858,0.0429388,5.366998,119.637018
2026-03-21T17:31:18.380119+00:00,19,0.3338781,0.0799197,5.361866,124.998883
2026-03-21T17:31:21.106603+00:00,20,0.30814379,0.0237422,2.726485,127.725368
2026-03-21T17:31:26.892112+00:00,21,0.3150512,0.0585681,5.785508,133.510876
2026-03-21T17:31:32.275464+00:00,22,0.27664685,0.0354254,5.383352,138.894228
2026-03-21T17:31:37.652869+00:00,23,0.27884418,0.0230472,5.377405,144.271634
2026-03-21T17:31:43.026046+00:00,24,0.26590466,0.0460528,5.373177,149.644810
2026-03-21T17:31:48.416583+00:00,25,0.32477856,0.0465769,5.390537,155.035347
2026-03-21T17:31:53.779632+00:00,26,0.29170135,0.0383997,5.363049,160.398396
2026-03-21T17:31:59.161550+00:00,27,0.29098353,0.019541,5.381908,165.780305
2026-03-21T17:32:04.527843+00:00,28,0.30100143,0.0599018,5.366303,171.146608
2026-03-21T17:32:09.895712+00:00,29,0.42063221,0.0183761,5.367868,176.514475
2026-03-21T17:32:12.637871+00:00,30,0.35692841,0.0199937,2.742160,179.256636
2026-03-21T17:32:18.465367+00:00,31,0.27164045,0.0232894,5.827494,185.084129
2026-03-21T17:32:23.844857+00:00,32,0.27192044,0.0308817,5.379493,190.463622
2026-03-21T17:32:29.226514+00:00,33,0.35354179,0.106967,5.381657,195.845279
2026-03-21T17:32:34.627178+00:00,34,0.29882604,0.034503,5.400664,201.245943
2026-03-21T17:32:40.008118+00:00,35,0.28613847,0.0276656,5.380940,206.626883
2026-03-21T17:32:45.387204+00:00,36,0.27817777,0.0785144,5.379086,212.005969
2026-03-21T17:32:50.768164+00:00,37,0.33097121,0.0291652,5.380959,217.386928
2026-03-21T17:32:56.161629+00:00,38,0.33845162,0.0408825,5.393466,222.780394
2026-03-21T17:33:01.543023+00:00,39,0.33564276,0.0420887,5.381394,228.161788
2026-03-21T17:33:04.274711+00:00,40,0.24732526,0.0207594,2.731688,230.893475
2026-03-21T17:33:10.147874+00:00,41,0.3109954,0.0330225,5.873163,236.766638
2026-03-21T17:33:15.528143+00:00,42,0.31489044,0.0362707,5.380269,242.146907
2026-03-21T17:33:20.937990+00:00,43,0.26828888,0.0503186,5.409847,247.556754
