timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T17:27:58.778904+00:00,1,0.29177833,0.0334815,30.612900,30.612900
2026-03-21T17:28:04.135166+00:00,2,0.31211379,0.0211021,5.356263,35.969162
2026-03-21T17:28:09.506110+00:00,3,0.3245621,0.032428,5.370945,41.340107
2026-03-21T17:28:14.859476+00:00,4,0.26036519,0.03395,5.353366,46.693474
2026-03-21T17:28:20.209336+00:00,5,0.37830856,0.0801014,5.349859,52.043333
2026-03-21T17:28:25.608673+00:00,6,0.28210443,0.0589217,5.399337,57.442670
2026-03-21T17:28:31.009854+00:00,7,0.38877749,0.045745,5.401181,62.843851
2026-03-21T17:28:36.378995+00:00,8,0.3344349,0.0358848,5.369142,68.212993
2026-03-21T17:28:41.736430+00:00,9,0.35113445,0.0389822,5.357434,73.570427
2026-03-21T17:28:47.091016+00:00,10,0.33474851,0.0345291,5.354586,78.925014
2026-03-21T17:28:52.458187+00:00,11,0.30379751,0.0588036,5.367171,84.292184
2026-03-21T17:28:57.855967+00:00,12,0.29057017,0.0379345,5.397779,89.689964
2026-03-21T17:29:03.242107+00:00,13,0.28517997,0.0608,5.386140,95.076104
2026-03-21T17:29:08.587526+00:00,14,0.32584104,0.0407631,5.345420,100.421524
2026-03-21T17:29:13.931579+00:00,15,0.27663726,0.0530638,5.344052,105.765576
2026-03-21T17:29:19.279911+00:00,16,0.43760157,0.0247427,5.348333,111.113909
2026-03-21T17:29:24.616537+00:00,17,0.31813705,0.054597,5.336626,116.450535
2026-03-21T17:29:29.957540+00:00,18,0.31426954,0.0169092,5.341002,121.791537
2026-03-21T17:29:32.677083+00:00,19,0.33609542,0.0370883,2.719543,124.511080
2026-03-21T17:29:38.542524+00:00,20,0.3385393,0.0474571,5.865441,130.376522
2026-03-21T17:29:43.944769+00:00,21,0.29265463,0.0603381,5.402244,135.778766
2026-03-21T17:29:49.316595+00:00,22,0.27239311,0.0292125,5.371826,141.150592
2026-03-21T17:29:54.688267+00:00,23,0.28884742,0.0497951,5.371672,146.522264
2026-03-21T17:30:00.080795+00:00,24,0.31295335,0.0409682,5.392528,151.914792
2026-03-21T17:30:05.453345+00:00,25,0.27417496,0.0322707,5.372550,157.287343
2026-03-21T17:30:10.828643+00:00,26,0.25696811,0.0425813,5.375297,162.662640
2026-03-21T17:30:16.203689+00:00,27,0.30965739,0.0575032,5.375046,168.037686
