timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T16:40:33.223612+00:00,1,0.21826887,0.00605564,20.047878,20.047878
2026-03-21T16:40:35.121258+00:00,2,0.21068293,0.00578929,1.897650,21.945528
2026-03-21T16:40:37.023569+00:00,3,0.14822172,0.004282,1.902313,23.847840
2026-03-21T16:40:38.913996+00:00,4,0.14845286,0.00609959,1.890426,25.738267
2026-03-21T16:40:40.790511+00:00,5,0.17923026,0.005339,1.876515,27.614782
2026-03-21T16:40:42.690391+00:00,6,0.17289354,0.00696818,1.899881,29.514663
2026-03-21T16:40:44.608563+00:00,7,0.16664039,0.00492458,1.918170,31.432833
2026-03-21T16:40:46.497888+00:00,8,0.17016613,0.00576289,1.889326,33.322159
2026-03-21T16:40:48.390142+00:00,9,0.15758701,0.00485177,1.892253,35.214413
2026-03-21T16:40:50.256633+00:00,10,0.25519192,0.00617055,1.866492,37.080905
2026-03-21T16:40:52.131983+00:00,11,0.15289071,0.0052615,1.875349,38.956254
2026-03-21T16:40:54.006486+00:00,12,0.15485185,0.00459975,1.874503,40.830757
2026-03-21T16:40:55.917468+00:00,13,0.27741009,0.00607012,1.910982,42.741740
2026-03-21T16:40:57.798628+00:00,14,0.18672563,0.00551529,1.881160,44.622900
2026-03-21T16:40:59.698743+00:00,15,0.13825938,0.00490223,1.900114,46.523014
2026-03-21T16:41:01.575079+00:00,16,0.12829781,0.00508832,1.876336,48.399350
2026-03-21T16:41:03.444827+00:00,17,0.18705833,0.00639193,1.869749,50.269098
2026-03-21T16:41:05.301174+00:00,18,0.17772853,0.00545284,1.856347,52.125445
2026-03-21T16:41:06.267873+00:00,19,0.1752798,0.00368506,0.966699,53.092145
2026-03-21T16:41:08.402911+00:00,20,0.23945913,0.00604998,2.135037,55.227182
2026-03-21T16:41:10.277295+00:00,21,0.28608456,0.00650992,1.874383,57.101564
2026-03-21T16:41:12.162642+00:00,22,0.18969566,0.00524667,1.885349,58.986913
2026-03-21T16:41:14.032127+00:00,23,0.18314205,0.00618488,1.869485,60.856398
2026-03-21T16:41:15.902822+00:00,24,0.23302428,0.00637534,1.870695,62.727092
2026-03-21T16:41:17.779441+00:00,25,0.18337668,0.00678601,1.876619,64.603712
2026-03-21T16:41:19.649966+00:00,26,0.19557655,0.00539616,1.870526,66.474238
2026-03-21T16:41:21.512747+00:00,27,0.14898597,0.00536607,1.862780,68.337017
2026-03-21T16:41:23.381614+00:00,28,0.16568795,0.00467791,1.868868,70.205885
2026-03-21T16:41:25.245519+00:00,29,0.19162709,0.00566629,1.863905,72.069791
2026-03-21T16:41:27.114455+00:00,30,0.23132178,0.00670532,1.868935,73.938726
2026-03-21T16:41:28.978568+00:00,31,0.1982072,0.00548415,1.864113,75.802839
